timestamp,position_lat,position_long,distance,speed,idx,Sat,hdop,cog
1003662003,603338293,-29304115,16,1.078,17,13,1.8,304
1003662004,603338387,-29304431,18,1.128,18,13,1.8,308
1003662005,603338478,-29304729,20,1.128,19,13,1.1,322
1003662006,603338555,-29305046,22,1.128,20,13,1.1,321
1003662007,603338634,-29305378,24,1.128,21,13,1.1,335
1003662008,603338709,-29305709,26,1.128,22,13,1.1,316
1003662009,603338775,-29306032,27.5,0.925,23,13,1.1,272
1003662010,603338818,-29306306,29,1.128,24,13,1.1,167
1003662011,603338851,-29306525,29.5,0.256,25,13,1.1,133
1003662012,603338878,-29306716,30,0.358,26,13,1.1,33
1003662013,603338913,-29306886,31,0.839,27,13,1.1,33
1003662014,603338937,-29307035,32,0.358,28,13,1.1,33
1003662015,603338952,-29307175,32.5,0.358,29,13,1.1,297
1003662016,603338967,-29307312,33,0.358,30,13,1.1,310
1003662017,603338979,-29307441,33.5,0.358,31,13,1.1,64
1003662018,603338977,-29307560,34,0.647,32,13,1.1,8
1003662019,603338973,-29307664,34,0.647,33,13,1.1,8
1003662020,603339004,-29307758,34,0.647,34,13,1.1,8
1003662021,603339039,-29307863,35.5,0,35,13,1.1,8
1003662022,603339072,-29307968,37,0.308,36,13,1.1,177
1003662023,603339079,-29307984,37,0.308,37,13,1.1,177
1003662024,603339086,-29308000,37,0,38,13,1.1,177
1003662025,603339093,-29308017,37,0,39,13,1.1,177
1003662026,603339100,-29308034,37,0,40,13,1.1,177
1003662027,603339110,-29308065,37,0,41,13,1.1,177
1003662028,603339091,-29308071,37,0,42,13,1.1,177
1003662029,603339060,-29308086,37.5,0.358,43,13,1.1,302
1003662030,603339025,-29308116,38,0.358,44,13,1.1,353
1003662068,603339048,-29308041,38,0,82,13,1.1,353
1003662069,603339082,-29308014,38,0,83,13,1.1,353
1003662070,603339150,-29308031,38,0,84,13,1.1,353
1003662071,603339249,-29308079,40,0,85,13,1.1,331
1003662072,603339378,-29308148,42,1.439,86,13,1.1,333
1003662073,603339525,-29308238,44,1.542,87,13,1.1,316
1003662074,603339659,-29308368,46,1.542,88,13,1.1,294
1003662075,603339771,-29308531,47,1.283,89,13,1.1,295
1003662076,603339870,-29308720,48,1.283,90,13,1.1,309
1003662077,603339962,-29308905,49.5,1.336,91,13,1.2,322
1003662078,603340054,-29309081,51,1.336,92,13,1.1,311
1003662079,603340144,-29309266,52.5,1.336,93,13,1.1,310
1003662080,603340246,-29309456,54,1.386,94,13,1.1,306
1003662081,603340354,-29309649,55.5,1.439,95,13,1.1,306
1003662082,603340466,-29309829,57,1.386,96,13,1.1,321
1003662083,603340586,-29310002,58.5,1.336,97,13,1.1,315
1003662084,603340717,-29310179,60,1.336,98,13,1.1,325
1003662085,603340842,-29310344,61.5,1.336,99,13,1.1,324
1003662086,603340964,-29310489,63,1.336,100,13,1.1,314
1003662087,603341084,-29310616,64.5,1.336,101,13,1.1,334
1003662088,603341210,-29310711,66,1.283,102,13,1.1,342
1003662089,603341324,-29310789,67,1.283,103,13,1.1,313
1003662090,603341428,-29310867,68,1.283,104,13,1.1,332
1003662091,603341520,-29310977,69,1.181,105,13,1.1,295
1003662092,603341606,-29311139,70,1.181,106,13,1.1,293
1003662093,603341689,-29311327,71.5,1.181,107,13,1.1,305
1003662094,603341761,-29311520,73,1.181,108,13,1.1,283
1003662095,603341819,-29311722,74,1.181,109,13,1.1,288
1003662096,603341855,-29311946,75,1.181,110,13,1.1,283
1003662097,603341887,-29312184,77,1.181,111,13,1.1,287
1003662098,603341927,-29312410,79,1.181,112,13,1.1,330
1003662099,603341948,-29312602,79.5,1.181,113,13,1.1,192
1003662100,603341950,-29312768,80,1.181,114,13,1.1,315
1003662101,603341955,-29312833,80.5,1.181,115,13,1.1,315
1003662102,603341960,-29312899,81,1.181,116,13,1.1,315
1003662103,603341983,-29312999,81,0,117,13,1.1,315
1003662104,603342021,-29313084,81,0,118,13,1.1,315
1003662105,603342064,-29313177,82,0,119,13,1.1,302
1003662106,603342092,-29313298,83,0.719,120,13,1.1,278
1003662107,603342115,-29313438,84,0.564,121,13,1.1,317
1003662108,603342165,-29313593,85,0.719,122,13,1.1,327
1003662109,603342252,-29313771,87,1.078,123,13,1.1,322
1003662110,603342425,-29314052,89,2.006,124,13,1.1,333
1003662111,603342626,-29314333,92,2.417,125,13,1.1,321
1003662112,603342870,-29314636,95,2.775,126,13,1.1,331
1003662113,603343342,-29315216,99,3.394,127,13,1.1,325
1003662114,603343742,-29315666,103,3.961,128,13,1.1,329
1003662115,603344187,-29316150,108.5,4.833,129,13,1.1,325
1003662116,603344662,-29316687,114,5.039,130,13,1.1,321
1003662117,603345168,-29317291,120,5.606,131,13,1.1,325
1003662118,603345709,-29317929,126,5.811,132,13,1.1,321
1003662119,603346445,-29318850,132.5,6.481,133,13,1.1,314
1003662120,603347057,-29319636,139,6.583,134,13,1.1,317
1003662121,603347627,-29320477,146.5,7.561,135,13,1.1,315
1003662122,603348177,-29321357,154,7.611,136,13,1.1,317
1003662123,603348726,-29322251,161.5,7.611,137,13,1.1,310
1003662124,603349269,-29323160,169,7.561,138,13,1.1,317
1003662125,603349819,-29324024,176,7.097,139,13,1.1,316
1003662126,603350402,-29324957,183,7.097,140,13,1.1,318
1003662127,603351069,-29325913,191.5,7.714,141,13,1.1,325
1003662128,603351825,-29326921,200,8.642,142,13,1.1,324
1003662129,603352676,-29327994,210.5,9.053,143,13,1.1,322
1003662130,603353607,-29329127,221,10.133,144,13,1.1,322
1003662131,603354604,-29330321,233,10.803,145,13,1.1,321
1003662132,603355623,-29331668,245,11.625,146,13,1.1,317
1003662133,603356623,-29333122,257.5,12.447,147,13,1.1,314
1003662134,603357588,-29334657,270,12.447,148,13,1.1,313
1003662135,603358512,-29336243,283,12.603,149,13,1.1,314
